"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2005","5,408.26","5,210.54","5,469.96","5,208.49","1.74B","4.14%"
"01/01/2006","5,674.15","5,410.24","5,697.01","5,290.49","2.53B","4.92%"
"02/01/2006","5,796.04","5,662.05","5,916.80","5,598.05","2.13B","2.15%"
"03/01/2006","5,970.08","5,806.96","5,993.90","5,664.19","2.78B","3.00%"
"04/01/2006","6,009.89","5,989.08","6,121.95","5,860.50","2.11B","0.67%"
"05/01/2006","5,692.86","6,014.38","6,162.37","5,513.43","3.34B","-5.28%"
"06/01/2006","5,683.31","5,677.53","5,778.78","5,243.71","2.86B","-0.17%"
"07/01/2006","5,681.97","5,688.00","5,729.59","5,365.06","2.09B","-0.02%"
"08/01/2006","5,859.57","5,678.01","5,886.78","5,557.59","2.54B","3.13%"
"09/01/2006","6,004.33","5,861.25","6,031.55","5,737.20","2.48B","2.47%"
"10/01/2006","6,268.92","6,019.34","6,304.78","5,944.57","2.43B","4.41%"
"11/01/2006","6,309.19","6,262.71","6,497.06","6,201.00","2.66B","0.64%"
"12/01/2006","6,596.92","6,322.18","6,629.33","6,195.81","1.92B","4.56%"
"01/01/2007","6,789.11","6,614.73","6,805.09","6,531.25","3.02B","2.91%"
"02/01/2007","6,715.44","6,821.31","7,040.20","6,640.99","2.86B","-1.09%"
"03/01/2007","6,917.03","6,714.25","6,965.84","6,437.25","3.60B","3.00%"
"04/01/2007","7,408.87","6,911.13","7,436.30","6,891.80","2.47B","7.11%"
"05/01/2007","7,883.04","7,429.93","7,895.71","7,304.61","3.12B","6.40%"
"06/01/2007","8,007.32","7,891.20","8,131.73","7,499.43","3.54B","1.58%"
"07/01/2007","7,584.14","7,969.27","8,151.57","7,372.89","3.17B","-5.28%"
"08/01/2007","7,638.17","7,472.36","7,659.72","7,190.36","3.82B","0.71%"
"09/01/2007","7,861.51","7,643.64","7,882.18","7,369.70","2.80B","2.92%"
"10/01/2007","8,019.22","7,851.29","8,063.83","7,763.64","3.01B","2.01%"
"11/01/2007","7,870.52","8,024.41","8,038.41","7,444.62","3.62B","-1.85%"
"12/01/2007","8,067.32","7,859.39","8,117.79","7,777.40","2.18B","2.50%"
"01/01/2008","6,851.75","8,045.97","8,100.64","6,384.40","4.97B","-15.07%"
"02/01/2008","6,748.13","6,896.19","7,079.74","6,655.65","3.51B","-1.51%"
"03/01/2008","6,534.97","6,692.98","6,720.16","6,167.82","3.65B","-3.16%"
"04/01/2008","6,948.82","6,519.02","6,966.47","6,496.94","3.06B","6.33%"
"05/01/2008","7,096.79","6,982.06","7,231.86","6,905.86","2.70B","2.13%"
"06/01/2008","6,418.32","7,098.70","7,102.05","6,308.24","3.11B","-9.56%"
"07/01/2008","6,479.56","6,394.08","6,577.10","5,999.32","3.93B","0.95%"
"08/01/2008","6,422.30","6,461.01","6,626.70","6,219.10","2.63B","-0.88%"
"09/01/2008","5,831.02","6,400.85","6,553.90","5,658.20","4.71B","-9.21%"
"10/01/2008","4,987.97","5,865.08","5,876.93","4,014.60","6.54B","-14.46%"
"11/01/2008","4,669.44","5,053.94","5,302.57","4,034.96","3.29B","-6.39%"
"12/01/2008","4,810.20","4,653.12","4,850.39","4,304.03","3.03B","3.01%"
"01/01/2009","4,338.35","4,856.85","5,111.02","4,067.43","3.16B","-9.81%"
"02/01/2009","3,843.74","4,309.17","4,688.59","3,764.69","2.82B","-11.40%"
"03/01/2009","4,084.76","3,817.51","4,272.12","3,588.89","3.48B","6.27%"
"04/01/2009","4,769.45","4,074.79","4,837.22","3,997.46","2.92B","16.76%"
"05/01/2009","4,940.82","4,790.03","5,060.76","4,653.25","2.49B","3.59%"
"06/01/2009","4,808.64","4,992.10","5,177.59","4,669.80","2.20B","-2.68%"
"07/01/2009","5,332.14","4,820.61","5,396.95","4,524.01","2.15B","10.89%"
"08/01/2009","5,464.61","5,330.87","5,575.53","5,158.60","1.81B","2.48%"
"09/01/2009","5,675.16","5,479.35","5,760.83","5,263.11","2.48B","3.85%"
"10/01/2009","5,414.96","5,681.88","5,888.21","5,394.80","2.84B","-4.58%"
"11/01/2009","5,625.95","5,410.61","5,843.27","5,312.64","2.33B","3.90%"
"12/01/2009","5,957.43","5,653.88","6,026.69","5,605.43","1.88B","5.89%"
"01/01/2010","5,608.79","5,975.52","6,094.26","5,540.33","2.64B","-5.85%"
"02/01/2010","5,598.46","5,587.50","5,743.89","5,433.02","2.61B","-0.18%"
"03/01/2010","6,153.55","5,652.85","6,203.50","5,641.18","2.58B","9.92%"
"04/01/2010","6,135.70","6,189.38","6,341.52","6,024.01","2.74B","-0.29%"
"05/01/2010","5,964.33","6,122.76","6,276.80","5,607.68","3.89B","-2.79%"
"06/01/2010","5,965.52","5,943.94","6,330.81","5,798.76","2.63B","0.02%"
"07/01/2010","6,147.97","5,885.61","6,253.64","5,809.37","2.22B","3.06%"
"08/01/2010","5,925.22","6,187.64","6,386.97","5,833.51","2.10B","-3.62%"
"09/01/2010","6,229.02","5,936.94","6,339.97","5,876.43","2.45B","5.13%"
"10/01/2010","6,601.37","6,244.06","6,668.54","6,115.87","2.17B","5.98%"
"11/01/2010","6,688.49","6,637.09","6,907.61","6,586.01","2.33B","1.32%"
"12/01/2010","6,914.19","6,748.36","7,087.84","6,736.69","1.79B","3.37%"
"01/01/2011","7,077.48","6,973.39","7,180.15","6,835.74","2.36B","2.36%"
"02/01/2011","7,272.32","7,133.34","7,441.82","7,093.91","2.13B","2.75%"
"03/01/2011","7,041.31","7,309.80","7,356.33","6,483.39","3.09B","-3.18%"
"04/01/2011","7,514.46","7,086.56","7,514.69","6,994.56","2.42B","6.72%"
"05/01/2011","7,293.69","7,570.86","7,600.41","7,071.42","3.55B","-2.94%"
"06/01/2011","7,376.24","7,310.56","7,378.35","6,991.62","3.22B","1.13%"
"07/01/2011","7,158.77","7,374.49","7,523.53","6,996.26","3.30B","-2.95%"
"08/01/2011","5,784.85","7,254.50","7,282.01","5,345.36","5.64B","-19.19%"
"09/01/2011","5,502.02","5,793.10","5,794.50","4,965.80","4.65B","-4.89%"
"10/01/2011","6,141.34","5,311.93","6,430.60","5,125.44","3.74B","11.62%"
